event_id|member_id|event_name|program_ind|program|event_date
1000000|999999999|Meal Trans|0||2017-02-04
1000001|999999999|Education * Training Workshops|0||2015-07-20
1000001|999999999|Education * Training Workshops|0||2015-07-20
1000001|605|Education * Training Workshops|0||2015-07-20
1000001|999999999|Education * Training Workshops|0||2015-07-20
1000001|999999999|Education * Training Workshops|0||2015-07-20
1000001|510|Education * Training Workshops|0||2015-07-20
1000001|199|Education * Training Workshops|0||2015-07-20
1000001|999999999|Education * Training Workshops|0||2015-07-20
1000001|999999999|Education * Training Workshops|0||2015-07-20
1000001|976|Education * Training Workshops|0||2015-07-20
1000001|999999999|Education * Training Workshops|0||2015-07-20
1000001|999999999|Education * Training Workshops|0||2015-07-20
1000001|848|Education * Training Workshops|0||2015-07-20
1000001|999999999|Education * Training Workshops|0||2015-07-20
1000001|999999999|Education * Training Workshops|0||2015-07-20
1000001|25|Education * Training Workshops|0||2015-07-20
1000001|898|Education * Training Workshops|0||2015-07-20
1000002|234|Sew What|0||2015-12-18
1000002|39|Sew What|0||2015-12-18
1000002|286|Sew What|0||2015-12-18
1000002|417|Sew What|0||2015-12-18
1000002|999999999|Sew What|0||2015-12-18
1000003|999999999|Just a Taste (Event)|0||2017-05-20
1000003|999999999|Just a Taste (Event)|0||2017-05-20
1000003|999999999|Just a Taste (Event)|0||2017-05-20
1000003|999999999|Just a Taste (Event)|0||2017-05-20
1000003|999999999|Just a Taste (Event)|0||2017-05-20
1000003|999999999|Just a Taste (Event)|0||2017-05-20
1000003|999999999|Just a Taste (Event)|0||2017-05-20
1000003|999999999|Just a Taste (Event)|0||2017-05-20
1000003|999999999|Just a Taste (Event)|0||2017-05-20
1000004|887|Settling In|0||2015-06-20
1000004|201|Settling In|0||2015-06-20
1000004|748|Settling In|0||2015-06-20
1000004|661|Settling In|0||2015-06-20
1000004|999999999|Settling In|0||2015-06-20
1000004|999999999|Settling In|0||2015-06-20
1000004|719|Settling In|0||2015-06-20
1000004|614|Settling In|0||2015-06-20
1000005|999999999|Club 519 (VIP Pass)|0||2017-03-02
1000005|390|Club 519 (VIP Pass)|0||2017-03-02
1000005|221|Club 519 (VIP Pass)|0||2017-03-02
1000005|999999999|Club 519 (VIP Pass)|0||2017-03-02
1000005|380|Club 519 (VIP Pass)|0||2017-03-02
1000005|997|Club 519 (VIP Pass)|0||2017-03-02
1000005|162|Club 519 (VIP Pass)|0||2017-03-02
1000005|290|Club 519 (VIP Pass)|0||2017-03-02
1000006|411|Tax Clinic|0||2015-05-04
1000006|771|Tax Clinic|0||2015-05-04
1000006|999999999|Tax Clinic|0||2015-05-04
1000006|277|Tax Clinic|0||2015-05-04
1000006|518|Tax Clinic|0||2015-05-04
1000006|999999999|Tax Clinic|0||2015-05-04
1000006|999999999|Tax Clinic|0||2015-05-04
1000006|736|Tax Clinic|0||2015-05-04
1000006|663|Tax Clinic|0||2015-05-04
1000006|999999999|Tax Clinic|0||2015-05-04
1000006|425|Tax Clinic|0||2015-05-04
1000006|792|Tax Clinic|0||2015-05-04
1000006|999999999|Tax Clinic|0||2015-05-04
1000006|202|Tax Clinic|0||2015-05-04
1000006|774|Tax Clinic|0||2015-05-04
1000006|847|Tax Clinic|0||2015-05-04
1000006|941|Tax Clinic|0||2015-05-04
1000006|999999999|Tax Clinic|0||2015-05-04
1000007|999999999|Winter Celebration|0||2015-08-05
1000007|252|Winter Celebration|0||2015-08-05
1000007|132|Winter Celebration|0||2015-08-05
1000007|999999999|Winter Celebration|0||2015-08-05
1000008|845|Tax Clinic|0||2017-08-28
1000008|999999999|Tax Clinic|0||2017-08-28
1000008|136|Tax Clinic|0||2017-08-28
1000008|19|Tax Clinic|0||2017-08-28
1000008|8|Tax Clinic|0||2017-08-28
1000008|40|Tax Clinic|0||2017-08-28
1000008|330|Tax Clinic|0||2017-08-28
1000008|999999999|Tax Clinic|0||2017-08-28
1000008|938|Tax Clinic|0||2017-08-28
1000008|999999999|Tax Clinic|0||2017-08-28
1000008|999999999|Tax Clinic|0||2017-08-28
1000008|999999999|Tax Clinic|0||2017-08-28
1000008|999999999|Tax Clinic|0||2017-08-28
1000008|999999999|Tax Clinic|0||2017-08-28
1000008|999999999|Tax Clinic|0||2017-08-28
1000009|999999999|Youth Action & Art Space|0||2017-07-14
1000009|999999999|Youth Action & Art Space|0||2017-07-14
1000009|7|Youth Action & Art Space|0||2017-07-14
1000009|999999999|Youth Action & Art Space|0||2017-07-14
1000009|431|Youth Action & Art Space|0||2017-07-14
1000010|999999999|Education * Training Workshops|0||2015-02-16
1000010|999999999|Education * Training Workshops|0||2015-02-16
1000010|311|Education * Training Workshops|0||2015-02-16
1000010|775|Education * Training Workshops|0||2015-02-16
1000010|596|Education * Training Workshops|0||2015-02-16
1000010|240|Education * Training Workshops|0||2015-02-16
1000010|974|Education * Training Workshops|0||2015-02-16
1000011|999999999|Sew What|0||2016-01-22
1000011|508|Sew What|0||2016-01-22
1000011|999999999|Sew What|0||2016-01-22
1000011|999999999|Sew What|0||2016-01-22
1000012|121|Education * Training Workshops|0||2017-11-09
1000012|999999999|Education * Training Workshops|0||2017-11-09
1000012|804|Education * Training Workshops|0||2017-11-09
1000012|970|Education * Training Workshops|0||2017-11-09
1000012|999999999|Education * Training Workshops|0||2017-11-09
1000012|999999999|Education * Training Workshops|0||2017-11-09
1000012|999999999|Education * Training Workshops|0||2017-11-09
1000012|999999999|Education * Training Workshops|0||2017-11-09
1000012|986|Education * Training Workshops|0||2017-11-09
1000012|738|Education * Training Workshops|0||2017-11-09
1000012|846|Education * Training Workshops|0||2017-11-09
1000012|475|Education * Training Workshops|0||2017-11-09
1000012|999999999|Education * Training Workshops|0||2017-11-09
1000013|470|Improv with Darryl|0||2016-03-04
1000013|360|Improv with Darryl|0||2016-03-04
1000013|537|Improv with Darryl|0||2016-03-04
1000013|999999999|Improv with Darryl|0||2016-03-04
1000013|544|Improv with Darryl|0||2016-03-04
1000013|185|Improv with Darryl|0||2016-03-04
1000013|823|Improv with Darryl|0||2016-03-04
1000013|999999999|Improv with Darryl|0||2016-03-04
1000013|999999999|Improv with Darryl|0||2016-03-04
1000013|512|Improv with Darryl|0||2016-03-04
1000013|999999999|Improv with Darryl|0||2016-03-04
1000013|999999999|Improv with Darryl|0||2016-03-04
1000013|999999999|Improv with Darryl|0||2016-03-04
1000013|615|Improv with Darryl|0||2016-03-04
1000013|859|Improv with Darryl|0||2016-03-04
